# globalsourceid,aorkey,wavelength,fluxdensity,uncertainty,chunk
2000000080,22415360,11.5076,0.06773762,0.005305965,1
2000000080,22415360,11.568,0.06723896,0.001551802,1
2000000080,22415360,11.6285,0.06630004,0.005532124,1
2000000080,22415360,11.689,0.0668404,0.003490737,1
2000000080,22415360,11.7495,0.065101,0.004576192,1
2000000080,22415360,11.81,0.05601507,0.001973354,1
2000000080,22415360,11.8705,0.06264155,0.003115556,1
2000000080,22415360,11.9309,0.06131899,0.008371825,1
2000000080,22415360,11.9914,0.0707891,0.002367002,1
2000000080,22415360,12.0519,0.06077725,0.007230776,1
2000000080,22415360,12.1124,0.06459109,0.002565737,1
2000000080,22415360,12.1729,0.05831408,0.002605013,1
2000000080,22415360,12.2334,0.05850379,0.00197231,1
2000000080,22415360,12.2938,0.06193528,0.02080203,1
2000000080,22415360,12.3543,0.05041894,0.003032396,1
2000000080,22415360,12.4148,0.04642299,0.0008511834,1
2000000080,22415360,12.4753,0.05244345,0.0008796213,1
2000000080,22415360,12.5358,0.04932551,0.00366283,1
2000000080,22415360,12.5963,0.04781475,0.004367523,1
2000000080,22415360,12.6567,0.04803851,0.004920095,1
2000000080,22415360,12.7172,0.04788779,0.003344098,1
2000000080,22415360,12.7777,0.04670465,0.002625811,1
2000000080,22415360,12.8382,0.046017,0.003629893,1
2000000080,22415360,12.8987,0.04530321,0.0004698908,1
2000000080,22415360,12.9592,0.04743145,0.009496398,1
2000000080,22415360,13.0197,0.04463932,0.002189167,1
2000000080,22415360,13.0801,0.0458311,0.001654773,1
2000000080,22415360,6.6991,0.08131354,0.001838901,1
2000000080,22415360,6.72935,0.08244716,0.003174654,1
2000000080,22415360,6.75959,0.08150744,0.002756916,1
2000000080,22415360,6.78983,0.0803651,0.005271744,1
2000000080,22415360,6.82007,0.08367459,0.006973659,1
2000000080,22415360,6.85031,0.08072238,0.007428613,1
2000000080,22415360,6.88056,0.07892086,0.003689392,1
2000000080,22415360,6.9108,0.0802043,0.00532848,1
