nu,fnu
11574103711193.432,0.0006748052661868304
11934952720765.814,0.0007185991004152494
12307052018996.254,0.000763044468363785
12690752359223.51,0.0008105867361358289
13086415430319.492,0.0008569723558593736
13494414197629.365,0.0009068988297728193
13915133254541.271,0.0009485707872478073
14348969185017.05,0.0009840389813567108
14796330937425.627,0.0010152082712424934
15257640210031.453,0.0010710792755828935
15733331848501.654,0.0011304386666831485
16223854255806.059,0.0011719913760784018
16729669814897.025,0.0011804093872951624
17251255324567.213,0.0011638404566692356
17789102448896.156,0.001145422652948672
18343718180709.37,0.0011366543898934556
18915625319486.98,0.00112143392676152
19505362964171.96,0.0011208187716614652
20113487021343.17,0.0011326430005452403
20740570729231.434,0.0011329989720577415
21387205198073.355,0.0011608456035242171
22053999967311.72,0.001246533673573613
22741583580167.836,0.001390661638058057
23450604176127.637,0.0015326825196014964
24181730101899.83,0.0017038902301982901
24935650541421.895,0.001937031088354455
25713076165508.26,0.0022947218470642404
26514739801752.47,0.0027407442807467408
27341397125315.13,0.003087138994666053
28193827371248.836,0.0033616777489884593
29072834069031.45,0.00361278941300814
29979245799999.98,0.00387822345391659
30913916978399.27,0.004008694197167453
31877728656781.75,0.004172405802023872
32871589356517.152,0.004352507747971332
33896435924195.43,0.0046491773834583545
34953234414729.957,0.004859476702601713
36042981001993.44,0.004901611618960527
37166702917844.85,0.004835807474250035
38325459420433.016,0.004785709181886506
39520342792688.875,0.004906399389192884
40752479371948.18,0.005055014132887289
42023030611675.22,0.005107397062333616
43333194176287.805,0.005164573256463572
44684205070116.086,0.005731211510893438
46077336801559.51,0.006292043686692988
47513902583538.39,0.006939271828518137
48995256571373.07,0.007565383744998037
50522795139255.945,0.007833720577503414
52097958196521.18,0.007778769488729633
53722230544951.66,0.007639397711019304
55397143278403.06,0.0072630460118146695
57124275226064.63,0.007110233392212425
58905254440716.914,0.007137173114370482
60741759733388.945,0.008010466705382222
62635522255862.16,0.010168868248157697
64588327132512.66,0.010401516762164257
66602015143029.055,0.01137006170191867
68678484457594.1,0.01374268524213478
70819692426163.38,0.016289819150346822
73027657423529.58,0.016948793397005668
75304460751910.5,0.017907435851557876
77652248602854.84,0.018689209757594073
80073234080314.2,0.02044774174241805
82569699286790.14,0.021794060508445134
85143997474520.4,0.02243179068301497
87798555263733.9,0.02240304545469151
