      Wavelength  Flux
      microns     Jy
      2.57166    0.0809536
      2.57199   -0.0105528
      2.57231   -0.0613019
      2.57263   -0.0371432
      2.57295    0.0181934
      2.57327    0.0497117
      2.57359    0.0324285
      2.57392   -0.0201380
      2.57424   -0.0667469
      2.57456   -0.0736392
      2.57488   -0.0569862
      2.57520   -0.0524421
      2.57552   -0.0665865
      2.57585   -0.0882726
      2.57617    -0.113974
      2.57649    -0.129470
      2.57681    -0.104700
      2.57713   -0.0213833
      2.57746    0.0719805
      2.57778     0.105538
      2.57810    0.0581089
      2.57842   -0.0378265
      2.57875    -0.129269
      2.57907    -0.160717
      2.57939    -0.117423
      2.57971   -0.0369314
      2.58004    0.0404105
      2.58036     0.114821
      2.58068     0.168997
      2.58100     0.174079
      2.58133     0.121732
      2.58165    0.0408170
      2.58197  -0.00288493
      2.58229   0.00479102
      2.58262    0.0756603
      2.58294     0.182810
      2.58326     0.283614
      2.58359     0.335956
      2.58391     0.294815
      2.58423     0.180145
      2.58455    0.0472452
      2.58488   -0.0234279
      2.58520   -0.0220226
      2.58552    0.0257549
      2.58585    0.0958516
      2.58617     0.204792
      2.58649     0.330842
      2.58682     0.425357
      2.58714     0.455282
      2.58746     0.420505
      2.58779     0.333197
      2.58811     0.259648
      2.58843     0.235196
      2.58876     0.240147
      2.58908     0.237232
      2.58941     0.229402
      2.58973     0.215443
      2.59005     0.164025
      2.59038    0.0973823
      2.59070    0.0298199
      2.59102   -0.0131767
      2.59135   -0.0435578
      2.59167   -0.0562459
      2.59200   -0.0501715
      2.59232   -0.0264331
      2.59264  -0.00730081
      2.59297  -0.00792787
      2.59329   -0.0234054
      2.59362   -0.0333454
      2.59394   -0.0208388
      2.59427    0.0268836
      2.59459     0.108701
      2.59491     0.185920
      2.59524     0.208751
      2.59556     0.174286
      2.59589     0.133332
      2.59621     0.118566
      2.59654     0.128401
      2.59686     0.143308
      2.59719     0.131008
      2.59751    0.0677249
      2.59783   -0.0201974
      2.59816   -0.0609707
      2.59848   -0.0272067
      2.59881    0.0371103
      2.59913    0.0689635
      2.59946    0.0511274
      2.59978  -0.00148017
      2.60011   -0.0691604
      2.60043    -0.147298
      2.60076    -0.164370
      2.60141    -0.122571
      2.60207   -0.0804636
      2.60272   -0.0782455
      2.60337    -0.135150
      2.60402    -0.202450
      2.60467    -0.237343
      2.60532    -0.228003
      2.60597    -0.200601
      2.60662    -0.183269
      2.60727    -0.182895
      2.60793    -0.182612
      2.60858    -0.164236
      2.60923    -0.131444
      2.60988   -0.0930818
      2.61054   -0.0515354
      2.61119   -0.0298680
      2.61184   -0.0733640
      2.61249    -0.188273
      2.61315    -0.356868
      2.61380    -0.510822
      2.61445    -0.571897
      2.61511    -0.515666
      2.61576    -0.414377
      2.61642    -0.349967
      2.61707    -0.324674
      2.61772    -0.294829
      2.61838    -0.238473
      2.61903    -0.172397
      2.61969    -0.128685
      2.62034    -0.104529
      2.62100   -0.0967056
      2.62165   -0.0945494
      2.62231    -0.135109
      2.62297    -0.227289
      2.62362    -0.292226
      2.62428    -0.293263
      2.62493    -0.220909
      2.62559    -0.152455
      2.62625    -0.144660
      2.62690    -0.231354
      2.62756    -0.303479
      2.62822    -0.319771
      2.62887    -0.307083
      2.62953    -0.271561
      2.63019    -0.251127
      2.63085    -0.235955
      2.63150    -0.222914
      2.63216    -0.228404
      2.63282    -0.260108
      2.63348    -0.285865
      2.63414    -0.272643
      2.63479    -0.207248
      2.63545    -0.119091
      2.63611   -0.0490449
      2.63677   -0.0283673
      2.63743   -0.0628857
      2.63809    -0.114838
      2.63875    -0.147800
      2.63941    -0.173595
      2.64007    -0.219144
      2.64073    -0.283300
      2.64139    -0.334556
      2.64205    -0.353438
      2.64271    -0.343887
      2.64337    -0.302489
      2.64403    -0.222864
      2.64469    -0.130275
      2.64536   -0.0747203
      2.64602   -0.0952567
      2.64668    -0.172166
      2.64734    -0.250940
      2.64800    -0.290423
      2.64866    -0.299568
      2.64933    -0.306477
      2.64999    -0.304587
      2.65065    -0.278822
      2.65131    -0.213480
      2.65198    -0.129477
      2.65264   -0.0583492
      2.65330   -0.0253598
      2.65397   -0.0376668
      2.65463   -0.0700727
      2.65529    -0.116122
      2.65596    -0.177623
      2.65662    -0.230840
      2.65729    -0.240443
      2.65795    -0.203146
      2.65862    -0.162169
      2.65928    -0.150444
      2.65994    -0.144258
      2.66061   -0.0990340
      2.66128   -0.0121665
      2.66194    0.0748613
      2.66261     0.133576
      2.66327     0.163358
      2.66394     0.162378
      2.66460     0.109728
      2.66527   -0.0156996
      2.66594    -0.189587
      2.66660    -0.322575
      2.66727    -0.333913
      2.66794    -0.246044
      2.66860    -0.132248
      2.66927   -0.0388360
      2.66994    0.0485886
      2.67061     0.139509
      2.67127     0.224749
      2.67194     0.260154
      2.67261     0.238156
      2.67328     0.186655
      2.67395     0.141875
      2.67461     0.114219
      2.67528    0.0940655
      2.67595    0.0695531
      2.67662    0.0430396
      2.67729    0.0147824
      2.67796   -0.0183553
      2.67863   -0.0715369
      2.67930    -0.135393
      2.67997    -0.181239
      2.68064    -0.185599
      2.68131    -0.156324
      2.68198    -0.122719
      2.68265   -0.0923179
      2.68332   -0.0652574
      2.68399   -0.0533100
      2.68466   -0.0668014
      2.68533   -0.0918769
      2.68601    -0.105514
      2.68668    -0.101825
      2.68735   -0.0897025
      2.68802   -0.0868447
      2.68869   -0.0868433
      2.68937   -0.0627834
      2.69004   -0.0120601
      2.69071    0.0336453
      2.69138    0.0507055
      2.69206    0.0473646
      2.69273    0.0341664
      2.69340    0.0214260
      2.69408    0.0198966
      2.69475    0.0253002
      2.69542    0.0165247
      2.69610   -0.0111788
      2.69677   -0.0397138
      2.69745   -0.0502428
      2.69812   -0.0450733
      2.69880   -0.0108360
      2.69947    0.0645705
      2.70014     0.148228
      2.70082     0.193083
      2.70150     0.183655
      2.70217     0.158429
      2.70285     0.143480
      2.70352     0.129270
      2.70420    0.0833607
      2.70487   0.00145730
      2.70555   -0.0745938
      2.70623    -0.111728
      2.70690    -0.119233
      2.70758    -0.124526
      2.70826    -0.133891
      2.70893    -0.127547
      2.70961   -0.0986445
      2.71029   -0.0628438
      2.71097   -0.0334428
      2.71164  -0.00953048
      2.71232    0.0117080
      2.71300    0.0221309
      2.71368    0.0180717
      2.71436   0.00888735
      2.71504 -0.000564997
      2.71572   -0.0140567
      2.71639   -0.0142708
      2.71707   0.00176926
      2.71775    0.0361653
      2.71843    0.0833886
      2.71911     0.128465
      2.71979     0.158752
      2.72047     0.163668
      2.72115     0.142397
      2.72183     0.112841
      2.72251    0.0917305
      2.72319    0.0777271
      2.72387    0.0520281
      2.72456    0.0167373
      2.72524  -0.00164537
      2.72592    0.0165954
      2.72660    0.0614216
      2.72728     0.116650
      2.72796     0.161158
      2.72865     0.194899
      2.72933     0.211136
      2.73001     0.210308
      2.73069     0.182987
      2.73138     0.139540
      2.73206     0.100328
      2.73274    0.0750404
      2.73342    0.0595450
      2.73411    0.0405718
      2.73479    0.0145557
      2.73548  -0.00755677
      2.73616   -0.0149576
      2.73684  -0.00827786
      2.73753   0.00529956
      2.73821    0.0203131
      2.73890    0.0260227
      2.73958    0.0168758
      2.74027   0.00567320
      2.74095    0.0147197
      2.74164    0.0556912
      2.74232     0.109817
      2.74301     0.144407
      2.74369     0.136548
      2.74438     0.100293
      2.74507    0.0680466
      2.74575    0.0440577
      2.74644    0.0165322
      2.74713   -0.0218068
      2.74781   -0.0455460
      2.74850   -0.0248757
      2.74919    0.0324614
      2.74987    0.0946227
      2.75056     0.142182
      2.75125     0.182686
      2.75194     0.219468
      2.75263     0.244777
      2.75331     0.256749
      2.75400     0.280561
      2.75469     0.334606
      2.75538     0.412024
      2.75607     0.472881
      2.75676     0.476008
      2.75745     0.405912
      2.75814     0.294919
      2.75883     0.190288
      2.75952     0.121734
      2.76021    0.0954292
      2.76090    0.0968015
      2.76159     0.103410
      2.76228    0.0967245
      2.76297    0.0683298
      2.76366    0.0327993
      2.76435   0.00168751
      2.76504   -0.0206068
      2.76573   -0.0408407
      2.76642   -0.0526148
      2.76712   -0.0452491
      2.76781   -0.0152333
      2.76850    0.0361957
      2.76919    0.0874312
      2.76988     0.111020
      2.77058    0.0936922
      2.77127    0.0498336
      2.77196   0.00882239
      2.77266  -0.00965463
      2.77335 -0.000667944
      2.77404    0.0236403
      2.77474    0.0319693
      2.77543   0.00963070
      2.77612   -0.0346380
      2.77682   -0.0740219
      2.77751   -0.0918606
      2.77821   -0.0810808
      2.77890   -0.0546527
      2.77960   -0.0264442
      2.78029  -0.00987429
      2.78099   -0.0125274
      2.78168   -0.0376563
      2.78238   -0.0666454
      2.78307   -0.0779145
      2.78377   -0.0611945
      2.78446   -0.0249902
      2.78516    0.0100240
      2.78586    0.0354504
      2.78655    0.0469787
      2.78725    0.0448324
      2.78795    0.0332678
      2.78864    0.0224882
      2.78934    0.0193587
      2.79004    0.0161590
      2.79074   0.00383691
      2.79143   -0.0139663
      2.79213   -0.0313973
      2.79283   -0.0280316
      2.79353   0.00847435
      2.79423    0.0584240
      2.79493    0.0799863
      2.79562    0.0677815
      2.79632    0.0405669
      2.79702  -0.00107839
      2.79772   -0.0305372
      2.79842   0.00238226
      2.79912     0.136471
      2.79982     0.351767
      2.80052     0.579259
      2.80122     0.730111
      2.80192     0.754880
      2.80262     0.648394
      2.80332     0.459004
      2.80402     0.261397
      2.80472     0.135977
      2.80543    0.0806962
      2.80613    0.0506339
      2.80683    0.0113849
      2.80753   -0.0201637
      2.80823   -0.0287455
      2.80893   -0.0155492
      2.80964  -0.00600652
      2.81034   -0.0169729
      2.81104   -0.0438926
      2.81175   -0.0568229
      2.81245   -0.0471176
      2.81315   -0.0239255
      2.81385   0.00809314
      2.81456    0.0441831
      2.81526    0.0790334
      2.81597     0.118716
      2.81667     0.159457
      2.81737     0.189536
      2.81808     0.208374
      2.81878     0.215543
      2.81949     0.201562
      2.82019     0.170590
      2.82090     0.143399
      2.82160     0.153716
      2.82231     0.234029
      2.82301     0.409343
      2.82372     0.666885
      2.82443     0.946453
      2.82513      1.12200
      2.82584      1.09138
      2.82655     0.857962
      2.82725     0.544685
      2.82796     0.271347
      2.82867    0.0869718
      2.82937   -0.0127920
      2.83008   -0.0309172
      2.83079    0.0212895
      2.83150     0.114367
      2.83220     0.193239
      2.83291     0.217834
      2.83362     0.185713
      2.83433     0.140186
      2.83504     0.115938
      2.83575     0.117430
      2.83646     0.122169
      2.83717     0.117998
      2.83787     0.119607
      2.83858     0.130973
      2.83929     0.139400
      2.84000     0.138190
      2.84071     0.133324
      2.84142     0.132414
      2.84213     0.130890
      2.84285     0.122768
      2.84356     0.110663
      2.84427     0.101813
      2.84498    0.0956069
      2.84569    0.0846817
      2.84640    0.0678495
      2.84711    0.0503826
      2.84782    0.0377136
      2.84854    0.0326691
      2.84925    0.0363142
      2.84996    0.0495108
      2.85067    0.0718752
      2.85139     0.102161
      2.85210     0.131013
      2.85281     0.143972
      2.85353     0.137153
      2.85424     0.121585
      2.85495     0.110738
      2.85567     0.102229
      2.85638    0.0929463
      2.85710    0.0876889
      2.85781    0.0901751
      2.85852    0.0909009
      2.85924    0.0790849
      2.85995    0.0651917
      2.86067    0.0674753
      2.86138    0.0824601
      2.86210    0.0922154
      2.86281    0.0951153
      2.86353     0.107091
      2.86425     0.131719
      2.86496     0.151991
      2.86568     0.155469
      2.86640     0.141917
      2.86711     0.119299
      2.86783    0.0964763
      2.86855    0.0859063
      2.86926     0.105338
      2.86998     0.165333
      2.87070     0.262075
      2.87142     0.371089
      2.87213     0.458726
      2.87285     0.495986
      2.87357     0.474730
      2.87429     0.403212
      2.87501     0.295836
      2.87573     0.188309
      2.87645     0.116091
      2.87716    0.0953843
      2.87788     0.108897
      2.87860     0.124655
      2.87932     0.125888
      2.88004     0.116651
      2.88076     0.113559
      2.88148     0.129859
      2.88220     0.166686
